Day,Time
01.02.2023,00:02:19
02.02.2023,00:03:01
03.02.2023,00:02:49
04.02.2023,00:02:13
05.02.2023,00:01:57
06.02.2023,00:03:10
07.02.2023,00:02:43
08.02.2023,00:03:00
09.02.2023,00:02:58
10.02.2023,00:03:08
11.02.2023,00:03:00
12.02.2023,00:02:35
13.02.2023,00:03:04
14.02.2023,00:03:10
15.02.2023,00:03:06
16.02.2023,00:02:49
17.02.2023,00:02:48
18.02.2023,00:02:41
19.02.2023,00:02:02
20.02.2023,00:03:01
21.02.2023,00:03:11
22.02.2023,00:02:54
23.02.2023,00:02:56
24.02.2023,00:02:57
25.02.2023,00:03:26
26.02.2023,00:02:21
27.02.2023,00:03:05
28.02.2023,00:02:51
01.03.2023,00:02:55
02.03.2023,00:03:36
03.03.2023,00:03:25
04.03.2023,00:03:02
05.03.2023,00:02:53
06.03.2023,00:02:51
07.03.2023,00:03:43
08.03.2023,00:03:25
09.03.2023,00:03:36
10.03.2023,00:03:10
11.03.2023,00:02:19
12.03.2023,00:02:31
13.03.2023,00:03:26
14.03.2023,00:03:13
15.03.2023,00:03:13
16.03.2023,00:03:12
17.03.2023,00:02:57
18.03.2023,00:02:49
19.03.2023,00:02:54
20.03.2023,00:03:04
21.03.2023,00:03:01
22.03.2023,00:02:49
23.03.2023,00:03:02
24.03.2023,00:03:03
25.03.2023,00:03:41
26.03.2023,00:03:16
27.03.2023,00:03:02
28.03.2023,00:03:07
29.03.2023,00:02:46
30.03.2023,00:03:07
31.03.2023,00:03:22
01.04.2023,00:03:05
02.04.2023,00:02:51
03.04.2023,00:03:28
04.04.2023,00:03:13
05.04.2023,00:02:31
06.04.2023,00:02:40
07.04.2023,00:02:46
08.04.2023,00:02:21
09.04.2023,00:02:10
10.04.2023,00:02:39
11.04.2023,00:03:55
12.04.2023,00:03:06
13.04.2023,00:03:23
14.04.2023,00:02:33
15.04.2023,00:02:07
16.04.2023,00:02:46
17.04.2023,00:03:10
18.04.2023,00:02:48
19.04.2023,00:03:04
20.04.2023,00:02:56
21.04.2023,00:02:37
22.04.2023,00:03:01
23.04.2023,00:02:38
24.04.2023,00:02:49
25.04.2023,00:02:58
26.04.2023,00:02:56
27.04.2023,00:02:50
28.04.2023,00:03:12
29.04.2023,00:03:04
30.04.2023,00:02:52
01.05.2023,00:02:58
02.05.2023,00:03:06
03.05.2023,00:02:56
04.05.2023,00:03:14
05.05.2023,00:02:40
06.05.2023,00:02:14
07.05.2023,00:02:22
08.05.2023,00:03:00
09.05.2023,00:03:14
10.05.2023,00:03:07
11.05.2023,00:03:12
12.05.2023,00:03:11
13.05.2023,00:03:17
14.05.2023,00:02:45
15.05.2023,00:03:13
16.05.2023,00:03:14
17.05.2023,00:02:55
18.05.2023,00:03:15
19.05.2023,00:03:11
20.05.2023,00:02:39
21.05.2023,00:03:19
22.05.2023,00:03:09
23.05.2023,00:02:44
24.05.2023,00:02:46
25.05.2023,00:02:59
26.05.2023,00:02:57
27.05.2023,00:02:51
28.05.2023,00:02:45
29.05.2023,00:02:26
30.05.2023,00:02:49
31.05.2023,00:03:03
